entryID,vialNo,plotID,vegtype,vedu19_g,resident20_g,shrubDist,AMHypha,AMVesicle,AMArbuscule,DS,zero,totalHits,rootL,Notes
55,437,SEEP03,SEEP,1.461,8.869,>500,130,40,0,10,10,190,80,
40,410,ARAR03,ARAR,1.571,3.9225,88.1,70,11,?,67,32,180,75,Lots of Vesicles? Arbuscules?
54,453,SEEP03,SEEP,1.461,8.869,>500,48,7,1?,35,22,112,105,
52,457,SEEP03,SEEP,1.461,8.869,>500,68,6,maybe?,111,46,231,105,
62,404,SEEP05,SEEP,0.278,12.839,>500,43,3,?,18,32,96,56,
56,W06-b,SEEP03,SEEP,1.461,8.869,>500,11,3,1?,39,6,59,40,
64,395,SEEP05,SEEP,0.278,12.839,>500,11,3,0,34,34,82,90,
31,W04,ARRI05,ARRI,0.777,5.169,123.3,8,3,0,8,40,59,45,
65,352,SEEP05,SEEP,0.278,12.839,>500,70,2,0,65,37,174,92,
60,342,ARAR02,ARAR,1.985,5.024,53.5,34,1,0,148,23,206,71,
63,413,SEEP05,SEEP,0.278,12.839,>500,33,1,0,36,27,97,45,
53,408,SEEP03,SEEP,1.461,8.869,>500,26,1,0,50,42,119,96,
66,390,SEEP05,SEEP,0.278,12.839,>500,22,1,0,3,50,76,60,
16,425,SEEP02,SEEP,1.628,9.824,350.8,8,1,0,85,1,95,45,
69,398,SEEP04,SEEP,0.701,14.262,137.7,5,1,0,50,15,71,39,
47,W13,ARAR04,ARAR,1.509,7.825,76.5,2,1,0,46,52,101,40,
10,382,ARRI04,ARRI,0.684,1.804,41.8,1,1,0,36,26,64,33,
59,407,ARAR02,ARAR,1.985,5.024,153.5,1,1,0,17,6,25,83,
39,459 (39),ARAR03,ARAR,1.571,3.9225,10.1,33,0,0,47,41,121,70,
34,465,ARRI02,ARRI,1.989,2.685,43.4,27,0,0,31,63,121,77,
44,320,SEEP01,SEEP,1.892,7.13,>500,25,0,0,67,58,150,85,
13,369,SEEP02,SEEP,1.628,9.824,421,24,0,0,18,57,99,50,
